Sta,CD,Member Elected,Party,PVI,Rank,Winner2012,Margin,Romney,Obama,Cong,Winner2008,Margin,McCain,Obama,Net%
CO,4,"GARDNER, CORY (R)",REPUBLICAN,R+11,110,Romney,-19,59,39,,McCain,-14,56,42,-3
CO,5,"LAMBORN, DOUG (R)",REPUBLICAN,R+13,87,Romney,-21,59,38,,McCain,-19,59,40,-1
CO,6,"COFFMAN, MIKE (R)",REPUBLICAN,D+ 1,251,Obama,-5,47,52,OR,Obama,-9,45,54,-2
CO,7,"Perlmutter, Ed (D)",DEMOCRAT,D+ 5,283,Obama,-15,42,56,,Obama,-17,41,57,-1
CT,1,"Larson, John B. (D)",DEMOCRAT,D+13,339,Obama,-28,36,63,,Obama,-33,33,66,-3
CT,2,"Courtney, Joe (D)",DEMOCRAT,D+ 5,285,Obama,-13,43,56,,Obama,-18,40,59,-3
CT,3,"DeLauro, Rosa L. (D)",DEMOCRAT,D+11,327,Obama,-26,36,63,,Obama,-26,36,63,0
CT,4,"Himes, James A. (D)",DEMOCRAT,D+ 5,276,Obama,-11,44,55,,Obama,-20,40,60,-5
CT,5,"Esty, Elizabeth H. (D)",DEMOCRAT,D+ 3,259,Obama,-8,45,54,,Obama,-14,42,56,-3
DE,AL,"Carney, John C., Jr. (D)",DEMOCRAT,D+ 8,312,Obama,-19,40,59,,Obama,-25,37,62,-3
FL,1,"MILLER, JEFF (R)",REPUBLICAN,R+21,21,Romney,-39,69,30,,McCain,-35,67,32,-2
FL,2,"SOUTHERLAND, STEVE, II (R)",REPUBLICAN,R+ 6,181,Romney,-6,52,47,,McCain,-5,52,47,-1
FL,3,"YOHO, TED S. (R)",REPUBLICAN,R+14,76,Romney,-24,62,38,,McCain,-20,59,40,-2
FL,4,"CRENSHAW, ANDER (R)",REPUBLICAN,R+19,32,Romney,-34,66,33,,McCain,-26,66,34,-1
FL,5,"Brown, Corinne (D)",DEMOCRAT,D+21,385,Obama,-47,26,73,,Obama,-42,26,73,0
FL,6,"DESANTIS, RON (R)",REPUBLICAN,R+ 9,139,Romney,-16,58,41,,McCain,-8,54,46,-4
FL,7,"MICA, JOHN L. (R)",REPUBLICAN,R+ 4,197,Romney,-5,52,47,,McCain,(1)#,50,49,-2
FL,8,"POSEY, BILL (R)",REPUBLICAN,R+ 9,137,Romney,-15,57,42,,McCain,-11,55,44,-2
FL,9,"Grayson, Alan (D)",DEMOCRAT,D+ 8,313,Obama,-24,38,61,,Obama,-21,39,60,1
FL,10,"WEBSTER, DANIEL (R)",REPUBLICAN,R+ 6,174,Romney,-8,54,46,,McCain,-5,52,47,-2
FL,11,"NUGENT, ‰ÛªRICH‰Ûª (R)",REPUBLICAN,R+11,119,Romney,-19,59,40,,McCain,-13,56,43,-3
FL,12,"BILIRAKIS, GUS MICHAEL (R)",REPUBLICAN,R+ 7,167,Romney,-9,54,45,,McCain,-6,52,47,-2
FL,13,"YOUNG, C. W. BILL (R)",REPUBLICAN,R+ 1,230,Obama,(2)#,49,50,OR,Obama,-4,48,51,-1
FL,14,"Castor, Kathy (D)",DEMOCRAT,D+13,344,Obama,-31,34,65,,Obama,-31,34,65,0
