,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
87,287092974,168424775,4,113,N,3604,40.6369483,-73.6059099,C2,G5200,Congressional District 4,36,0.048488538,1.167051983,0.44737
88,12082174683,122476834,4,113,N,3904,40.3871749,-83.9357033,C2,G5200,Congressional District 4,39,1.300756708,10.65696157,0.14393
89,5368515312,17442232,18,113,N,4218,40.1705353,-80.0275169,C2,G5200,Congressional District 18,42,0.56933222,6.5508531,0.16672
90,542042542,26842491,14,113,N,4214,40.432541,-79.9056963,C2,G5200,Congressional District 14,42,0.060377224,2.623302384,0.11025
91,5602305968,59304232,12,113,N,4212,40.4284125,-79.4864996,C2,G5200,Congressional District 12,42,0.600793179,8.773629248,0.09808
92,9516605921,147683541,6,113,N,3706,36.3104088,-79.6783956,C2,G5200,Congressional District 6,37,0.969725673,10.20650852,0.11698
93,472233618,4644349190,98,113,N,6998,14.9300772,145.6425305,C4,G5200,Delegate District (at Large),69,0.434010348,8.425365367,0.07683
94,26266695180,306899655,2,113,N,102,31.7020846,-86.0768417,C2,G5200,Congressional District 2,1,2.52833211,12.16147812,0.21482
95,9384314904,51593050,14,113,N,1314,34.4305862,-85.0978762,C2,G5200,Congressional District 14,13,0.925471258,6.139766937,0.30851
96,3510589063,467079153,5,113,N,1205,29.3852027,-81.7512099,C2,G5200,Congressional District 5,12,0.369704109,10.98747712,0.03848
97,2926785923,697917045,10,113,N,1210,28.5160182,-81.7411867,C2,G5200,Congressional District 10,12,0.334111785,4.577645736,0.20036
98,23642121888,4517878521,27,113,N,4827,28.7829945,-96.8414071,C2,G5200,Congressional District 27,48,2.60230924,13.16230293,0.18876
99,21213105382,3364572718,34,113,N,4834,26.7738163,-97.9253663,C2,G5200,Congressional District 34,48,2.246434336,15.04868745,0.12465
100,10252693034,132224988,2,113,N,1802,41.2487244,-86.236798,C2,G5200,Congressional District 2,18,1.115541466,5.516949778,0.46057
101,5371387645,59048713,5,113,N,4005,35.3078792,-96.9896037,C2,G5200,Congressional District 5,40,0.53819935,5.02570504,0.26777
102,25323182345,407938441,4,113,N,4004,34.5865916,-97.7501307,C2,G5200,Congressional District 4,40,2.528081976,11.31604755,0.24809
103,6314631021,243392500,2,113,N,2702,44.478968,-92.8530418,C2,G5200,Congressional District 2,27,0.741919256,5.723619032,0.28459
104,10009722536,64690531,7,113,N,3907,40.4811635,-82.3929179,C2,G5200,Congressional District 7,39,1.073558973,10.47852963,0.12287
105,3121938508,31009625,16,113,N,3916,40.9821546,-81.7406039,C2,G5200,Congressional District 16,39,0.337312669,6.228525433,0.10926
106,2316184973,70028461,13,113,N,3913,41.1496303,-80.9786969,C2,G5200,Congressional District 13,39,0.255985466,6.256154763,0.08219
107,1.02093E+11,1316180236,1,113,N,1601,45.2967502,-116.0358424,C2,G5200,Congressional District 1,16,11.88230639,27.55522152,0.19665
108,17629208581,8181026242,8,113,N,5508,44.8312557,-87.9368111,C2,G5200,Congressional District 8,55,2.937285063,10.85294837,0.31337
109,19062269014,364830643,8,113,N,5308,47.3623665,-121.0394032,C2,G5200,Congressional District 8,53,2.315895468,12.83199563,0.17674
110,13496322455,413007023,9,113,N,1309,34.5061521,-83.6872147,C2,G5200,Congressional District 9,13,1.365394611,7.766621622,0.28445
